age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;target
45;blue-collar;married;unknown;no;419;no;no;unknown;5;jun;420;1;-1;0;unknown;no
29;unemployed;single;tertiary;no;70;no;no;cellular;25;may;393;1;-1;0;unknown;yes
30;management;married;tertiary;no;1022;yes;no;cellular;18;may;97;2;298;1;failure;no
73;retired;married;primary;no;5539;no;no;telephone;6;aug;338;1;-1;0;unknown;yes
46;unknown;married;unknown;no;0;no;no;cellular;4;aug;343;1;-1;0;unknown;no
46;blue-collar;married;primary;no;14;no;no;cellular;7;jul;407;1;-1;0;unknown;no
25;student;single;secondary;no;3713;no;no;cellular;24;may;323;2;353;3;other;yes
34;blue-collar;married;secondary;no;157;yes;no;cellular;11;jul;254;2;-1;0;unknown;no
27;technician;single;tertiary;no;4661;no;no;cellular;8;apr;114;1;-1;0;unknown;yes
52;technician;married;secondary;no;230;yes;yes;cellular;21;nov;89;4;-1;0;unknown;no
35;management;single;tertiary;no;538;no;no;cellular;22;dec;410;3;165;2;other;yes
43;admin.;married;secondary;no;-169;yes;no;cellular;24;apr;219;1;-1;0;unknown;no
41;technician;married;secondary;no;64;yes;yes;unknown;8;may;210;2;-1;0;unknown;no
57;retired;married;secondary;no;5313;no;no;cellular;3;jun;200;1;-1;0;unknown;yes
38;management;married;tertiary;no;1199;no;no;cellular;3;aug;482;1;-1;0;unknown;yes
29;services;single;secondary;no;-271;yes;no;unknown;4;jun;578;1;-1;0;unknown;yes
41;technician;single;tertiary;no;431;no;no;cellular;23;jul;196;1;88;5;failure;yes
28;blue-collar;married;secondary;no;61;yes;no;cellular;11;feb;253;1;174;4;success;yes
25;technician;married;tertiary;no;914;yes;no;cellular;12;may;185;2;-1;0;unknown;no
67;retired;single;tertiary;no;3377;no;no;telephone;23;apr;77;2;-1;0;unknown;no
59;retired;married;secondary;no;1521;yes;yes;unknown;14;may;1125;2;-1;0;unknown;yes
24;admin.;single;secondary;no;120;yes;no;cellular;18;may;145;1;-1;0;unknown;no
32;technician;single;tertiary;no;1212;yes;no;unknown;23;may;463;2;-1;0;unknown;no
26;blue-collar;single;secondary;no;786;yes;yes;unknown;14;may;103;5;-1;0;unknown;no
77;retired;married;tertiary;no;1047;no;no;cellular;30;jun;108;5;-1;0;unknown;no
30;self-employed;single;tertiary;no;251;no;no;cellular;12;jul;537;1;-1;0;unknown;yes
54;entrepreneur;married;secondary;no;52;yes;no;unknown;15;may;44;3;-1;0;unknown;no
77;unknown;married;unknown;no;397;no;no;telephone;7;may;300;3;-1;0;unknown;yes
34;blue-collar;married;secondary;no;634;no;yes;cellular;12;may;737;3;-1;0;unknown;yes
29;technician;single;secondary;no;706;yes;no;cellular;18;may;1340;1;-1;0;unknown;yes
80;retired;married;secondary;no;8304;no;no;telephone;9;jun;712;1;64;12;failure;yes
58;retired;married;unknown;no;9004;no;no;cellular;21;jul;891;4;-1;0;unknown;yes
29;management;single;tertiary;no;572;no;no;cellular;4;jun;224;1;-1;0;unknown;yes
24;technician;married;secondary;no;556;yes;no;cellular;8;feb;278;1;94;4;success;yes
34;admin.;single;secondary;no;5057;yes;no;cellular;19;nov;73;1;-1;0;unknown;no
54;technician;married;secondary;no;3994;no;yes;cellular;16;apr;299;2;-1;0;unknown;yes
35;blue-collar;single;primary;no;109;yes;no;unknown;7;may;83;2;-1;0;unknown;no
35;admin.;single;secondary;no;10;no;yes;cellular;12;may;357;1;175;4;failure;no
58;services;single;secondary;no;1430;yes;no;cellular;20;apr;861;6;321;5;failure;no
46;management;single;tertiary;no;2904;yes;no;unknown;30;may;984;2;-1;0;unknown;yes
29;management;single;tertiary;no;1377;no;no;cellular;8;apr;548;2;-1;0;unknown;yes
46;technician;single;secondary;no;401;no;no;unknown;19;aug;69;2;-1;0;unknown;no
30;services;divorced;primary;no;459;yes;no;cellular;18;jul;494;1;-1;0;unknown;yes
33;management;married;tertiary;no;679;no;no;cellular;5;aug;1109;2;-1;0;unknown;yes
25;blue-collar;single;unknown;no;431;yes;no;cellular;16;apr;493;1;317;12;failure;no
41;entrepreneur;married;primary;no;39;yes;no;cellular;21;nov;549;2;-1;0;unknown;yes
49;admin.;married;secondary;no;0;no;no;cellular;1;jun;1460;1;-1;0;unknown;yes
35;management;married;tertiary;no;495;no;no;cellular;30;apr;266;1;87;1;failure;yes
36;management;married;tertiary;no;393;yes;no;cellular;30;apr;555;2;-1;0;unknown;yes
27;blue-collar;single;primary;no;3955;yes;no;unknown;28;may;205;3;-1;0;unknown;no
37;admin.;married;secondary;no;121;no;no;cellular;22;jul;22;6;-1;0;unknown;no
21;student;single;secondary;no;123;no;no;telephone;12;feb;379;5;93;2;success;yes
36;technician;married;unknown;no;756;no;no;cellular;11;jul;396;3;-1;0;unknown;no
23;student;single;tertiary;no;113;no;no;cellular;17;nov;266;1;-1;0;unknown;yes
32;management;married;tertiary;no;1331;no;no;cellular;12;nov;126;1;92;5;failure;yes
33;entrepreneur;married;secondary;no;1034;yes;no;cellular;21;jul;141;6;-1;0;unknown;no
39;admin.;married;secondary;no;70;yes;no;cellular;31;jul;13;11;-1;0;unknown;no
51;services;married;primary;no;636;yes;yes;telephone;18;may;36;6;-1;0;unknown;no
28;admin.;married;secondary;no;897;no;no;cellular;17;mar;395;1;285;1;success;no
39;technician;single;secondary;no;506;yes;no;cellular;7;jul;718;2;-1;0;unknown;yes
44;blue-collar;married;secondary;no;1786;yes;no;unknown;15;may;452;2;-1;0;unknown;no
27;technician;single;secondary;no;643;no;no;telephone;14;oct;301;1;93;1;success;yes
34;services;married;secondary;no;244;no;no;cellular;4;feb;696;2;-1;0;unknown;no
38;housemaid;married;secondary;no;0;yes;no;unknown;6;may;59;3;-1;0;unknown;no
36;services;single;secondary;no;511;yes;yes;cellular;30;jan;706;1;252;1;failure;no
49;housemaid;married;primary;no;3376;no;no;unknown;9;jun;119;3;-1;0;unknown;no
32;technician;married;secondary;no;560;no;no;cellular;6;aug;1044;4;-1;0;unknown;yes
36;services;divorced;tertiary;no;162;yes;no;cellular;18;may;69;1;367;6;other;no
32;blue-collar;single;primary;no;121;yes;no;cellular;20;nov;758;1;-1;0;unknown;yes
36;technician;single;secondary;no;2151;yes;no;cellular;13;may;134;1;370;1;failure;no
59;retired;married;secondary;no;1980;no;no;cellular;11;aug;185;2;-1;0;unknown;no
38;technician;single;tertiary;no;508;yes;yes;cellular;12;aug;1103;2;-1;0;unknown;yes
33;blue-collar;married;secondary;no;1219;yes;no;cellular;18;may;51;3;367;4;other;no
46;management;married;tertiary;no;466;yes;no;cellular;31;jul;109;8;-1;0;unknown;no
37;technician;married;tertiary;no;341;no;no;cellular;13;aug;287;3;182;3;success;yes
58;technician;married;secondary;no;3399;no;no;telephone;30;nov;1628;2;188;8;success;yes
45;blue-collar;married;secondary;no;827;yes;no;unknown;15;may;319;5;-1;0;unknown;no
43;self-employed;married;secondary;no;14144;yes;no;cellular;21;nov;504;1;-1;0;unknown;yes
31;admin.;single;secondary;no;3950;yes;no;cellular;21;nov;529;1;-1;0;unknown;yes
31;blue-collar;married;secondary;no;2577;yes;no;unknown;13;may;611;2;-1;0;unknown;no
44;technician;single;secondary;no;250;no;no;telephone;2;mar;382;2;-1;0;unknown;yes
76;retired;married;primary;no;3324;no;no;cellular;11;feb;309;1;90;4;success;yes
60;technician;married;secondary;no;851;no;yes;cellular;18;jul;112;2;-1;0;unknown;no
56;retired;divorced;secondary;no;212;no;yes;telephone;17;jul;27;1;-1;0;unknown;no
33;management;married;tertiary;no;334;no;no;cellular;25;nov;87;1;-1;0;unknown;no
23;services;married;secondary;no;0;yes;yes;unknown;26;may;90;5;-1;0;unknown;no
34;unemployed;married;tertiary;no;0;no;no;cellular;8;aug;201;6;-1;0;unknown;no
54;unemployed;single;secondary;no;380;no;no;cellular;17;nov;696;2;-1;0;unknown;yes
34;admin.;divorced;secondary;no;1085;no;no;cellular;11;mar;101;7;-1;0;unknown;yes
